Name	Age	Location	Type    Diet    Habitat Weight
			
Brian	2	New York	Snapping    Earthworms  Zoo 23
Joe	5	Boston	Snapping    Snails  Pet 19
Donatello	15	Sewers	Teenage Mutant Ninja    Pizza   Free-being  88
Leonardo	15	Sewers	Teenage Mutant Ninja    Pizza   Free-being  92
Raphael	15	Sewers	Teenage Mutant Ninja    Pizza   Free-being  85
Michelangelo	15	Sewers	Teenage Mutant Ninja    Pizza   Free-being  86
Walter	20	Boston	Diamond Black Terrapin  Grubs   Zoo 25
Edgar	10	New York	Diamondback Terrapin    Snails  Zoo 17
Justin	12	San Deigo	Diamondback Terrapin    Grubs   Pet 30
Roxy	11	San Deigo	Diamondback Terrapin    Earthworms  Zoo 22
Emma	18	New York	Red Ear Snails  Zoo 31
Stealth	22	Boston	Red Ear Snails  Zoo 19
Georgie	6	Boston	Red Ear Earthworms  Pet 13
Buster	8	New York	Yellow Bellied  Grubs   Zoo 32
Margie	9	New York	Yellow Bellied  Earthworms  Zoo 24
Peter	5	Boston	Yellow Bellied  Snails  Zoo 11
Wendy	13	San Deigo	Yellow Bellied  Snails  Pet 41
